domain,home_url,logo_url,status,error
"renaultchiva.com","https://renaultchiva.com","https://www.renaultchiva.com/img_src/renault-logo-2023.svg","OK",""
"ikea.com.hk","https://ikea.com.hk","https://www.ikea.com.hk/webroot/img/logos/IKEA_logo.svg","OK",""
"kierpensions.co.uk","https://kierpensions.co.uk","https://kierpensions.co.uk/wp-content/uploads/2023/09/KierLogo.svg_.png","OK",""
"taylorfarmsdeli.com","https://taylorfarmsdeli.com","https://taylorfarmsdeli.com/wp-content/themes/TYFDeli/images/tyf_logo.png","OK",""
"aamcopasadenatx.com","https://aamcopasadenatx.com","https://www.aamcopasadenatx.com/images/logo.png","OK",""
"despec.eu","https://despec.eu","https://www.despec.eu/resources/HP.png","OK",""
"carglass.rs","https://carglass.rs","https://carglass.rs/images/carglass-logo.svg","OK",""
"berlitz-dublin.ie","","","UNREADABLE",""
"ford.vn.ua","https://ford.vn.ua","https://ford.vn.ua/build/website/img/ford_logo.e264b95b.svg","OK",""
"saint-gobain.ru","https://saint-gobain.ru","https://www.saint-gobain.ru/favicon.ico","OK",""
"wurth.ua","https://wurth.ua","https://wurth.ua/storage/app/media/logo.svg","OK",""
"metlife.co.kr","https://metlife.co.kr","https://www.metlife.co.kr/content/dam/metlife/kr/author/layout/header/Header-Logo-New-202111.png","OK",""
"aamco-newbraunfels.com","https://aamco-newbraunfels.com","https://www.aamco-newbraunfels.com/wp-content/uploads/2018/09/logo.png","OK",""
"veolia.pt","https://veolia.pt","https://www.veolia.pt/themes/custom/veo_site/build/assets/images/temp/logo-sticky.png","OK",""
"renaulttlalnepantla.com.mx","","","UNREADABLE",""
"rotary-bulgaria.org","https://rotary-bulgaria.org","https://www.rotary-bulgaria.org/images/logo.svg","OK",""
"carglass.gr","","","UNREADABLE",""
"mazda-autohaus-dorner-riedlingen.de","https://mazda-autohaus-dorner-riedlingen.de","https://www.assets.mazda-autohaus.de/assets/img/favicons/web-app-manifest-512x512.png","OK",""
"aamcotulsa-brokenarrow.com","https://aamcotulsa-brokenarrow.com","https://www.aamcotulsa-brokenarrow.com/images/logo.png","OK",""
"benu.ee","https://benu.ee","https://www.benu.ee/application/images/benu-logo.svg","OK",""
"carlsjr.com.sg","https://carlsjr.com.sg","https://i0.wp.com/carlsjr.com.sg/wp-content/uploads/2023/11/cropped-icon.png","OK",""
"mazda.fi","https://mazda.fi","https://www.mazda.fi/media/akzfzg01/web-app-manifest-512x512.png","OK",""
"mazda-autohaus-buelo-naumburg.de","https://mazda-autohaus-buelo-naumburg.de","https://www.assets.mazda-autohaus.de/assets/img/favicons/web-app-manifest-512x512.png","OK",""
"veolia.pl","https://veolia.pl","https://www.veolia.pl/themes/custom/veo_site/build/assets/images/temp/logo-sticky.png","OK",""
"worldvision.org.nz","https://worldvision.org.nz","https://www.worldvision.org.nz/apple-touch-icon.png","OK",""
"bioderma-sk.com","https://bioderma-sk.com","https://www.bioderma-sk.com/themes/custom/bioderma_theme/apple-touch-icon.png","OK",""
"aamcoconwaysc.com","https://aamcoconwaysc.com","https://www.aamcoconwaysc.com/wp-content/uploads/2018/09/logo.png","OK",""
"jungheinrich.com.sg","https://jungheinrich.com.sg","https://media-live2.prod.scw.jungheinrichcloud.com/resource/image/1118498/landscape_ratio16x10/1200/750/9b85bca014b2ecf90fa6c4de5970e75a/7F71A3FDC405019B3A1902EA2FA3ED18/stage-teaser-brand-campaign-do-not-publish.jpg","OK",""
"grantthornton.com.ve","https://grantthornton.com.ve","https://www.grantthornton.com.ve/dist/images/grantthornton_logo-180x180.png","OK",""
"bakertilly.sg","https://bakertilly.sg","https://www.bakertilly.sg/assets/images/logo.svg","OK",""
"atalian.pl","https://atalian.pl","https://atalian.com/apple-touch-icon-180x180.png","OK",""
"mazda-autohaus-lotspeich-muenchen.de","https://mazda-autohaus-lotspeich-muenchen.de","https://www.assets.mazda-autohaus.de/assets/img/favicons/web-app-manifest-512x512.png","OK",""
"adecco.co.th","https://adecco.co.th","https://adecco.co.th/assets/images/logos/adecco-logo.png","OK",""
"globalconnectcarrier.com","https://globalconnectcarrier.com","https://globalconnectcarrier.com/app/uploads/sites/8/2024/06/cropped-gc-logo-symbol-blue-192x192.png","OK",""
"mazda-autohaus-fritsche-grossschoenau.de","https://mazda-autohaus-fritsche-grossschoenau.de","https://www.assets.mazda-autohaus.de/assets/img/favicons/web-app-manifest-512x512.png","OK",""
"mazda-sosnowiec-mirai.pl","https://mazda-sosnowiec-mirai.pl","https://uploads.mazdalh.eu/uploads/sites/124542/www.mazda-sosnowiec-mirai.pl-logonormal.png","OK",""
"rockvalleyculligan.com","https://rockvalleyculligan.com","https://www.rockvalleyculligan.com/images/logos/culligan_water_you_love.svg","OK",""
"toyota-rillieux.fr","","","UNREADABLE",""
"toyotasandikci.com.tr","https://toyotasandikci.com.tr","https://www.toyotasandikci.com.tr/Assets/img/logo.png","OK",""
"mazda-autohaus-albstadt-auto-domicil-ebingen.de","https://mazda-autohaus-albstadt-auto-domicil-ebingen.de","https://www.assets.mazda-autohaus.de/assets/img/favicons/web-app-manifest-512x512.png","OK",""
"hondasemarangcenter.com","https://hondasemarangcenter.com","https://www.hondasemarangcenter.com/img/logohonda.png","OK",""
"demetercs.eu","https://demetercs.eu","https://static.wixstatic.com/media/b23043_e2a42c954cef4dcdb60e7984845807a9%7Emv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/b23043_e2a42c954cef4dcdb60e7984845807a9%7Emv2.png","OK",""
"bbraun.ph","https://bbraun.ph","https://www.bbraun.ph/content/dam/b-braun/master/website-6/en/00_home-and-miscellaneous/logo/bbraun-logo-full.svg","OK",""
"howden.co.il","https://howden.co.il","https://howden.co.il/wp-content/uploads/2021/05/cropped-Howden_Consumer_Logo_Brass_RGB2-192x192.png","OK",""
"hyundaichullora.com.au","https://hyundaichullora.com.au","https://cricksapi.s3.ap-southeast-2.amazonaws.com/uploads/manufacturer/logo/10/396287937-a8df97da-b712-49e5-963e-330414c21236.svg","OK",""
"intersport-courchevel1850.com","https://intersport-courchevel1850.com","https://www.intersport-courchevel1850.com/img/logo.png","OK",""
"decathlon.com.tr","","","UNREADABLE",""
"bakertilly.gt","https://bakertilly.gt","https://www.bakertilly.gt/assets/images/logo.svg","OK",""
"mazda-autohaus-rausch-dresden.de","https://mazda-autohaus-rausch-dresden.de","https://www.assets.mazda-autohaus.de/assets/img/favicons/web-app-manifest-512x512.png","OK",""
"kia-chita.ru","https://kia-chita.ru","https://cdn.kia.ru/media-data/upload/logo-new.jpg","OK",""
"medef-ain.fr","https://medef-ain.fr","https://medef-ain.fr/bundles/medeffront/img/burger-menu.svg","OK",""
"flashbay.fr","https://flashbay.fr","https://static.flashbay.fr/images/header/flashbay_range.jpg","OK",""
"demeter-im-westen.de","https://demeter-im-westen.de","https://www.demeter-im-westen.de/themes/wingsuit/dist/app-drupal/images/logo-demeter.svg","OK",""
"intersport.be","https://intersport.be","https://www.intersport.be/resources/favicon/apple-touch-icon.png","OK",""
"pingusenglish.my","https://pingusenglish.my","https://pingusenglish.my/wp-content/uploads/2025/04/pingu-logo.webp","OK",""
"toyotabakircilarfethiye.com.tr","https://toyotabakircilarfethiye.com.tr","https://www.toyotabakircilarfethiye.com.tr/Assets/img/logo.png","OK",""
"toyotacavdarli.com.tr","https://toyotacavdarli.com.tr","https://www.toyotacavdarli.com.tr/Assets/img/logo.png","OK",""
"fmlogistic.es","https://fmlogistic.es","https://www.fmlogistic.com/app/themes/fmlogistics/dist/icons/safari-pinned-tab.svg","OK",""
"demeter.ch","https://demeter.ch","https://demeter.ch/wp-content/uploads/2022/01/demeter_logo_rgb.png","OK",""
"kiaonline.dk","https://kiaonline.dk","https://www.kiaonline.dk/wp-content/themes/kia/public/img/kia_logo_white.png","OK",""
"synergiejobs.nl","https://synergiejobs.nl","https://www.synergiejobs.nl/wp-content/uploads/2024/03/cropped-logo-1000px-jpg-scaled-1-192x192.jpg","OK",""
"trulynolenalagoas.com.br","https://trulynolenalagoas.com.br","https://trulynolenalagoas.com.br/wp-content/uploads/revslider/medic2/03.jpg","OK",""
"honda-rennes.com","https://honda-rennes.com","https://www.honda-rennes.com/images/logo-honda-auto_blanc.svg","OK",""
"nikonclub.fr","https://nikonclub.fr","https://www.nikonclub.fr/sites/default/files/inline-images/nikon-club-1.jpg","OK",""
"vkf-renzel.cz","https://vkf-renzel.cz","https://www.vkf-renzel.cz/out/ra-theme/img/logos/7/share_logo.png","OK",""
"toyotaotojen.com.tr","https://toyotaotojen.com.tr","https://www.toyotaotojen.com.tr/Assets/img/logo.png","OK",""
"stanbicbank.co.zm","https://stanbicbank.co.zm","https://www.stanbicbank.co.zm/static_file/assets/icons/flag-zambia.svg","OK",""
"mazda-autohaus-hansmann-melsungen.de","https://mazda-autohaus-hansmann-melsungen.de","https://www.assets.mazda-autohaus.de/assets/img/favicons/web-app-manifest-512x512.png","OK",""
"synlab.hr","https://synlab.hr","https://www.synevo.hr/images/header-logo.svg","OK",""
"mapfre.com.ni","https://mapfre.com.ni","https://www.mapfre.com.ni/media/Logo-MAPFRE-11.png","OK",""
"culligandelavan.com","https://culligandelavan.com","https://www.culligandelavan.com/images/logos/culligan_water_you_love.svg","OK",""
"isover.bg","https://isover.bg","https://www.isover.bg/sites/mac3.isover.bg/files/Isover_Logo.svg","OK",""
"schaumann.it","https://schaumann.it","https://www.schaumann.it/themes/schaumann/logo_it-IT.svg","OK",""
"medef-essonne.org","https://medef-essonne.org","https://www.medef-essonne.org/bundles/medeffront/img/burger-menu.svg","OK",""
"toyotabucurestinord.ro","https://toyotabucurestinord.ro","https://toyotabucurestinord.ro/wp-content/uploads/2021/03/cropped-logo-512x512-1-32x32.png","OK",""
"veoliawatertechnologies.de","https://veoliawatertechnologies.de","https://www.veoliawatertechnologies.de/themes/custom/veo_site/build/assets/images/temp/logo-sticky.png","OK",""
"netterden.com","https://netterden.com","https://www.netterden.com/app/uploads/2024/02/cropped-Logo-Beeldmerk--192x192.png","OK",""
"crif.cz","https://crif.cz","https://www.crif.cz/assets/img/CRIFCCB_logo.svg","OK",""
"carglass.hr","https://carglass.hr","https://www.carglass.hr/images/carglass-logo.svg","OK",""
"santillana.com.sv","https://santillana.com.sv","https://www.santillana.com.sv/wp-content/uploads/sites/14/2024/10/cropped-1538077230_original-150x150.webp","OK",""
"mazdaofescondido.com","","","UNREADABLE",""
"aonsolutions.com.tr","https://aonsolutions.com.tr","https://www.aonsolutions.com.tr/Content/images/logo_aon_red.png","OK",""
"modshair-braunschweig.de","https://modshair-braunschweig.de","https://www.modshair-braunschweig.de/files/themes/mod2022/img/logo-dark.svg","OK",""
"wuerth.co.jp","https://wuerth.co.jp","https://www.wuerth.co.jp/media/system/layout_wl2bootstrap/bootstrap_system_images/wuerth_logo_big.png","OK",""
"metlife.cl","https://metlife.cl","https://w3.metlife.cl/content/dam/metlifecom/global/icons-header/metlife_logo.png","OK",""
"hertz-autopozicovna.sk","https://hertz-autopozicovna.sk","https://www.hertz-autopozicovna.sk/wp-content/uploads/2020/05/hertz2-logo.png","OK",""
"spitexbuchs.ch","https://spitexbuchs.ch","https://www.spitexbuchs.ch/img/spitex2014/ch.spitex-buchs2015/logo_de-hcA8EF6D40.svg","OK",""
"bbraun.ru","https://bbraun.ru","https://bbraun.ru/wp-content/uploads/2023/07/bbraun-logo-full-_1_.png","OK",""
"engiemiddleeast.com","https://engiemiddleeast.com","https://engiemiddleeast.com/wp-content/uploads/mescat-logo.svg","OK",""
"zkteco.co.za","https://zkteco.co.za","https://zkteco.co.za/wp-content/uploads/2025/02/11.png","OK",""
"minisocr.com","https://minisocr.com","https://media.nidux.net/pull/600/600/11547/logoTienda11547664bce6342a40.png","OK",""
"pkflesotho.com","https://pkflesotho.com","https://www.pkflesotho.com/media/eehl4wtw/pkf-2-logo.svg","OK",""
"nobleprog.es","https://nobleprog.es","https://www.nobleprog.es/npfrontend/assets/images/opengraph/nobleprog-website.svg","OK",""
"linak.kr","","","UNREADABLE",""
"greatplacetowork.mu","https://greatplacetowork.mu","https://greatplacetowork.mu/wp-content/uploads/2021/05/gptw_logofooter.jpg","OK",""
"indiancancersocietybangalore.org","https://indiancancersocietybangalore.org","https://indiancancersocietybangalore.org/wp-content/uploads/2025/07/cropped-ics-mum-192x192.png","OK",""
"ardex.de","https://ardex.de","https://www.ardex.de/typo3conf/ext/ep_template_ardex_typo10/Resources/Public/Images/aufbauberater-search-button.jpg","OK",""
"veolia.sk","https://veolia.sk","https://www.veolia.sk/themes/custom/veo_site/build/assets/images/temp/logo-sticky.png","OK",""
"albatroslogistic.ma","https://albatroslogistic.ma","https://www.albatroslogistic.ma/wp-content/uploads/2021/03/cropped-cropped-cropped-cropped-logo_albatros_200px.png","OK",""
"mazda-autohaus-wedding-engelskirchen-albertsth.de","https://mazda-autohaus-wedding-engelskirchen-albertsth.de","https://www.assets.mazda-autohaus.de/assets/img/favicons/web-app-manifest-512x512.png","OK",""
"europa-union-niedersachsen.de","","","UNREADABLE",""
"mazda-autohaus-lohmann-kreuztal.de","https://mazda-autohaus-lohmann-kreuztal.de","https://www.assets.mazda-autohaus.de/assets/img/favicons/web-app-manifest-512x512.png","OK",""
"mazda-autohaus-tillack-perleberg.de","https://mazda-autohaus-tillack-perleberg.de","https://www.assets.mazda-autohaus.de/assets/img/favicons/web-app-manifest-512x512.png","OK",""
"besins-healthcare.com.mx","","","UNREADABLE",""
"enterpriserentacar.pl","","","UNREADABLE",""
"renault.com.my","https://renault.com.my","https://www.renault.com.my/android-chrome-256x256.png","OK",""
"culliganregina.com","https://culliganregina.com","https://www.culliganregina.com/images/logos/culligan_water_you_love.svg","OK",""
"pkf.jo","https://pkf.jo","https://pkf.jo/wp-content/uploads/2024/12/cropped-PKF-Logo-1-192x192.png","OK",""
"sprachcaffe-muenchen.com","https://sprachcaffe-muenchen.com","https://www.sprachcaffe-muenchen.com/_assets/faa68181add029f45a368860f1362bef/Images/Logo_SC_LanguagesPlus.svg","OK",""
"shimadzu-rika.co.jp","https://shimadzu-rika.co.jp","https://www.shimadzu-rika.co.jp/common/images/hdr_logo01.png","OK",""
"aamcoastoria.com","https://aamcoastoria.com","https://www.aamcoastoria.com/images/logo.png","OK",""
"ebay.pl","https://ebay.pl","https://ir.ebaystatic.com/cr/v/c1/ebay-logo-1-1200x630-margin.png","OK",""
"altenusa.com","https://altenusa.com","https://altenusa.com/wp-content/uploads/2022/04/cropped-alten-favicon.png","OK",""
"remax-pinneberg.de","https://remax-pinneberg.de","https://www.remax-lueneburg.de/media/images/logo_152x152.png","OK",""
"bioderma.ec","https://bioderma.ec","https://www.bioderma.ec/themes/custom/bioderma_theme/apple-touch-icon.png","OK",""
"nestle-caribbean.com","","","UNREADABLE",""
"avia-ramonville.fr","https://avia-ramonville.fr","http://avia-ramonville.fr/wp-content/uploads/2021/08/logo-Avia.png","OK",""
"eurochem-na.com","https://eurochem-na.com","https://www.eurochem-na.com/wp-content/uploads/sites/12/2019/11/logo.svg","OK",""
"kiaofverobeach.com","","","UNREADABLE",""
"cfmoto.com.br","https://cfmoto.com.br","https://minioapi.motorsync.site/cfmoto/public/a796221d-af06-4d89-a7d2-7623227b17d7/seo/39c44ecb-2541-4be9-8734-8c2551f5031e.png","OK",""
"veka.com.sg","https://veka.com.sg","https://veka.com.sg/wp-content/uploads/2018/12/VEKA-raute-logo-232x116px.png","OK",""
"asieris.com","https://asieris.com","https://asieris.com/wp-content/uploads/2022/09/logo_white.svg","OK",""
"culliganmarlette.com","https://culliganmarlette.com","https://www.culliganmarlette.com/images/logos/culligan_water_you_love.svg","OK",""
"kelloggs.gr","","","UNREADABLE",""
"kiavacaville.com","","","UNREADABLE",""
"sephora.dk","","","UNREADABLE",""
"captrain.pl","","","UNREADABLE",""
"jll.com.lk","https://jll.com.lk","https://www.jll.com/content/dam/tech-resources/android-chrome-192x192.png","OK",""
"wurth.ae","https://wurth.ae","https://eshop.wurth.ae/is-bin/intershop.static/WFS/3890-B1-Site/-/en_US/webkit_bootstrap/dist/img/wuerth-logo.svg","OK",""
"cdvi.de","https://cdvi.de","https://www.cdvi.de/wp-content/uploads/sites/10/2021/10/logo.svg","OK",""
"vkf-renzel.bg","https://vkf-renzel.bg","https://www.vkf-renzel.bg/out/ra-theme/img/logos/10/share_logo.png","OK",""
"bbraun.hr","https://bbraun.hr","https://www.bbraun.hr/content/dam/b-braun/master/website-6/en/00_home-and-miscellaneous/logo/bbraun-logo-full.svg","OK",""
"sanlorenzo.com.pe","","","UNREADABLE",""
"servier.es","https://servier.es","https://servier.es/wp-content/uploads/sites/5/2022/10/Logo_Servier.svg","OK",""
"kentmaster.nz","https://kentmaster.nz","https://kentmaster.nz/wp-content/uploads/2022/11/kentmaster-nz-logo.svg","OK",""
"chicco.fr","https://chicco.fr","https://www.chicco.fr/on/demandware.static/Sites-Chicco-France-Site/-/default/dwa2b285fd/images/logo.svg","OK",""
"mazdaofportcharlotte.com","","","UNREADABLE",""
"kiaofoldsaybrook.com","","","UNREADABLE",""
"kia-fischer-cottbus.de","https://kia-fischer-cottbus.de","https://www.kia-fischer-cottbus.de/etc.clientlibs/settings/wcm/designs/eut/clientlib/resources/rbr/logo_kia_white-rbr.png","OK",""
"nestle.no","","","UNREADABLE",""
"savethechildren.mn","https://savethechildren.mn","https://savethechildren.mn/wp-content/uploads/2023/01/logo.png","OK",""
"rsm.lu","https://rsm.lu","https://res.cloudinary.com/rsmglobal/image/fetch/t_default/f_auto/q_auto/https://www.rsm.global/luxembourg/profiles/rsm_global_platform/themes/rsm_global_platform_2022/images/logo@2x.png","OK",""
"shopee.com.my","https://shopee.com.my","https://deo.shopeemobile.com/shopee/shopee-pcmall-live-sg/assets/icon_favicon_1_32.9cd61b2e90c0f104.png","OK",""
"spitex-meggen.ch","https://spitex-meggen.ch","https://www.spitex-meggen.ch/img/spitex2014/ch.spitex-meggen/logo_de-hcF93068A9.svg","OK",""
"bakertillyeg.com","https://bakertillyeg.com","https://www.bakertillyeg.com/assets/images/logo.svg","OK",""
"mazda-autohaus-bayer-goessweinstein.de","https://mazda-autohaus-bayer-goessweinstein.de","https://www.assets.mazda-autohaus.de/assets/img/favicons/web-app-manifest-512x512.png","OK",""
"pkf.ch","https://pkf.ch","https://www.pkf.ch/media/qs0khq2e/pkf-2-logo.svg","OK",""
"chicco.com.ph","https://chicco.com.ph","https://chicco.com.ph/cdn/shop/files/logo.svg","OK",""
"grantthornton.sk","https://grantthornton.sk","https://www.grantthornton.sk/static/img/logo.svg","OK",""
"culliganporthuron.com","https://culliganporthuron.com","https://www.culliganporthuron.com/images/logos/culligan_water_you_love.svg","OK",""
"honda-autoland.com","https://honda-autoland.com","https://www.honda-autoland.com/assets/img/logo/hondathepower.png","OK",""
"affresco-decor.com","","","UNREADABLE",""
"mazda-autohaus-gerhard-figge-waldeck-hoeringhausen.de","https://mazda-autohaus-gerhard-figge-waldeck-hoeringhausen.de","https://www.assets.mazda-autohaus.de/assets/img/favicons/web-app-manifest-512x512.png","OK",""
"gulf.no","","","UNREADABLE",""
"aamcohouston-veteransmemorial.com","https://aamcohouston-veteransmemorial.com","https://www.aamcohouston-veteransmemorial.com/images/logo.png","OK",""
"synergie.pt","https://synergie.pt","https://static.lvengine.net/synergie/interface/imgs/logo.png","OK",""
"mazda-autohaus-dittrich-genthin-huettermuehle.de","https://mazda-autohaus-dittrich-genthin-huettermuehle.de","https://www.assets.mazda-autohaus.de/assets/img/favicons/web-app-manifest-512x512.png","OK",""
"mitsubishielectric-printing.com","https://mitsubishielectric-printing.com","https://mitsubishielectric-printing.com/common/project/images/mitsubishi/logo.svg","OK",""
"linak.de","","","UNREADABLE",""
"adra.fr","https://adra.fr","https://adra.fr/wp-content/uploads/2019/08/ADRA_webicon-1-75x75.png","OK",""
"altenromania.ro","","","UNREADABLE",""
"euromaster.cz","https://euromaster.cz","https://cdn-prod-eu.yepgarage.info/upload/euromaster-cz/logo/euromaster-cs-cz.png","OK",""
"pearsonschoolsandfecolleges.co.uk","https://pearsonschoolsandfecolleges.co.uk","https://www.pearsonschoolsandfecolleges.co.uk/_0zMsQw_4b80d4b2-943f-4a1b-83f7-d2bd9bebfefe/static/img/icons/favicon.png","OK",""
"culliganphoenix.com","https://culliganphoenix.com","https://www.culliganphoenix.com/images/logos/culligan_water_you_love.svg","OK",""
"gs1mt.org","https://gs1mt.org","https://gs1mt.org/wp-content/uploads/2024/09/cropped-thumbbar-192x192.png","OK",""
"adra.org.au","https://adra.org.au","https://www.adra.org.au/wp-content/themes/blankslate/images/search-icon.svg","OK",""
"engie-ecserwis.pl","https://engie-ecserwis.pl","https://www.engie-ecserwis.pl/favicon.ico","OK",""
"daikin-ce.com","https://daikin-ce.com","https://www.daikin-ce.com/etc.clientlibs/daikin/clientlibs/clientlib-internet-site/resources/images/app-icon/android-chrome-512x512.png","OK",""
"funiber.ma","https://funiber.ma","https://www.funiber.org/themes/funiber/logos/es.svg","OK",""
"salvationarmyeet.org","https://salvationarmyeet.org","https://salvationarmyeet.org/wp-content/uploads/2017/07/cropped-The_Salvation_Army-shield.-logo-192x192.png","OK",""
"nordicpharma.it","https://nordicpharma.it","https://www.nordicpharma.it/wp-content/uploads/sites/5/2022/02/Logo-Nordic-Pharma-yt.png","OK",""
"algeco.com","https://algeco.com","https://www.algeco.com/themes/custom/algeco_uk/logo.svg","OK",""
"renaultmonterrey.com","","","UNREADABLE",""
"culligannc.com","https://culligannc.com","https://www.culligannc.com/images/logos/culligan_water_you_love.svg","OK",""
"culliganfresnolindsay.com","https://culliganfresnolindsay.com","https://www.culliganfresnolindsay.com/images/logos/culligan_water_you_love.svg","OK",""
"grantthornton.com.pa","https://grantthornton.com.pa","https://www.grantthornton.com.pa/dist/images/grantthornton_logo-180x180.png","OK",""
"mantruckmerchandise.co.uk","https://mantruckmerchandise.co.uk","https://www.mantruckmerchandise.co.uk/wp-content/uploads/2018/08/cropped-Untitled-1-192x192.jpg","OK",""
"jollibee.com.bn","https://jollibee.com.bn","https://www.jollibee.com.bn/assets/jollibee-theme/images/jollibee-logo.svg","OK",""
"medef79.fr","https://medef79.fr","https://www.medef79.fr/bundles/medeffront/img/burger-menu.svg","OK",""
"trulynolennatal.com.br","https://trulynolennatal.com.br","https://trulynolennatal.com.br/wp-content/uploads/2020/07/TRULY-NOLEN-LOGO.png","OK",""
"spitexniesen.ch","https://spitexniesen.ch","https://www.spitexniesen.ch/img/spitex2022/ch.spitexniesen2022/logo_de-hc0D446320.svg","OK",""
"medef-paysdelaloire.fr","https://medef-paysdelaloire.fr","https://www.medef-paysdelaloire.fr/bundles/medeffront/img/burger-menu.svg","OK",""
"tbwaalif.com","https://tbwaalif.com","https://www.tbwaalif.com/assets/static/icons/android-chrome-192x192.png","OK",""
"subarusouthblvd.com","","","UNREADABLE",""
"invisalign.co.uk","https://invisalign.co.uk","https://images.ctfassets.net/vh25xg5i1h5l/zix2MazjqyXvYC2P9RxAp/ee843a74684df86705548517f8f72ef8/logo-invisalign-primary-blue-RGB.svg","OK",""
"pragroup.de","https://pragroup.de","https://pragroup.de/wp-content/uploads/2017/08/cropped-pra-group-logo.png","OK",""
"modshair-hannover.de","https://modshair-hannover.de","https://www.modshair-hannover.de/files/themes/mod2022/img/logo-dark.svg","OK",""
"lindehomecare.fr","https://lindehomecare.fr","https://prdlite.echannel.linde.com/wcsstore/BE_Homecare_Store/images/carte-bleue-logo.png","OK",""
"culliganmoseslake.com","https://culliganmoseslake.com","https://www.culliganmoseslake.com/images/logos/culligan_water_you_love.svg","OK",""
"culliganbetterwater.com","https://culliganbetterwater.com","https://culliganbetterwater.com/wp-content/uploads/cropped-culligan2025icon-192x192.png","OK",""
"carlsjr.com.tr","https://carlsjr.com.tr","https://www.carlsjr.com.tr/img/logo.png","OK",""
"extremeadventureraces.com","https://extremeadventureraces.com","https://www.runningadventureoutdoor.com/apple-icon-180x180.png","OK",""
"analytik-jena.fr","","","UNREADABLE",""
"isover.lv","","","UNREADABLE",""
"aamcomurraysouthsaltlakecity.com","https://aamcomurraysouthsaltlakecity.com","https://www.aamcomurraysouthsaltlakecity.com/images/logo.png","OK",""
"sto.hu","https://sto.hu","https://static.sto-net.com/favicons/sto/apple-touch-icon.png","OK",""
"servier.ge","https://servier.ge","https://servier.ge/wp-content/uploads/2023/05/Logo_Servier-2.svg","OK",""
"kia-guadeloupe.com","","","UNREADABLE",""
"culligangrandisland.com","https://culligangrandisland.com","https://www.culligangrandisland.com/images/logos/culligan_water_you_love.svg","OK",""
"renault-chihuahua.com","","","UNREADABLE",""
"svncredit.ro","https://svncredit.ro","https://www.svncredit.ro/favicon/logo512_512.png","OK",""
"aamco-corpuschristi.com","https://aamco-corpuschristi.com","https://www.aamco-corpuschristi.com/wp-content/uploads/2018/09/logo.png","OK",""
